paper_id,Title,pdf_file,Citation count,Publisher,Institution name,Institution UKPRN code,Main panel,Unit of assessment name,Open access status,Year
P000015,Parity Games and Propositional Proofs,P000015.pdf,6.0,Unknown,swansea university / prifysgol abertawe,10007855,B,computer science and informatics,Out of scope for open access requirements,2014
P000117,"""Almost-stable"" matchings in the Hospitals / Residents problem with Couples",P000117.pdf,7.0,Unknown,university of glasgow,10007794,B,computer science and informatics,Compliant,2017
P000996,"""The Best of Both Worlds!"": Integration of Web Page and Eye Tracking Data Driven Approaches for Automatic AOI Detection",P000996.pdf,1.0,Unknown,the university of manchester,10007798,B,computer science and informatics,Compliant,2020
P001377,{AVATAR:} The Architecture for First-Order Theorem Provers,P001377.pdf,25.0,Unknown,the university of manchester,10007798,B,computer science and informatics,Out of scope for open access requirements,2014
P002372,‘Teach Me - Show Me’- End-user personalisation of a smart home and companion robot,P002372.pdf,25.0,Unknown,university of hertfordshire,10007147,B,computer science and informatics,Out of scope for open access requirements,2015
P002868,“Ethics When You Least Expect It” : A Modular Approach to Short Course Data Ethics Instruction,P002868.pdf,1.0,Unknown,royal holloway and bedford new college,10005553,B,computer science and informatics,Compliant,2020
P003513,2 x 2 Phased Array Consisting of Square Loop Antennas for High Gain Wide Angle Scanning With Low Grating Lobes,P003513.pdf,24.0,Unknown,the university of essex,10007791,B,computer science and informatics,Compliant,2016
P003648,3-D Laser-Based Multiclass and Multiview Object Detection in Cluttered Indoor Scenes,P003648.pdf,8.0,Unknown,the university of essex,10007791,B,computer science and informatics,Out of scope for open access requirements,2015
P003652,3D Mesh Segmentation via Multi-branch 1D Convolutional Neural Networks,P003652.pdf,7.0,Elsevier,swansea university / prifysgol abertawe,10007855,B,computer science and informatics,Compliant,2018
P003811,5GTopoNet : real-time topology discovery and management on 5G multi-Tenant networks,P003811.pdf,0.0,Unknown,university of the west of scotland,10007800,B,computer science and informatics,Compliant,2020
P003822,5MART: A 5G SMART scheduling framework for optimizing QoS through reinforcement learning,P003822.pdf,0.0,Unknown,middlesex university,10004351,B,computer science and informatics,Compliant,2019
